timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ,label
1722454,-0.99,-0.03,-0.15,1.71,4.03,-0.73,default
1722462,-1.00,-0.02,-0.17,2.08,3.66,-0.37,default
1722470,-0.99,-0.02,-0.16,3.48,4.64,-0.24,default
1722478,-0.99,-0.03,-0.15,4.70,5.92,-0.24,default
1722486,-0.99,-0.03,-0.14,4.70,5.92,-0.31,default
1722494,-0.99,-0.03,-0.14,4.15,4.94,0.00,default
1722502,-0.99,-0.03,-0.15,3.48,4.09,0.12,default
1722510,-0.99,-0.03,-0.15,2.99,3.23,0.06,default
1722518,-0.99,-0.03,-0.15,2.62,2.99,-0.12,default
1722526,-0.99,-0.03,-0.15,2.62,2.99,-0.12,default
1722534,-1.00,-0.03,-0.16,2.14,2.99,-0.31,default
1722542,-0.99,-0.03,-0.15,2.08,3.72,-0.49,default
1722550,-0.99,-0.03,-0.14,2.01,4.33,-0.67,default
1722558,-0.99,-0.03,-0.14,1.77,4.15,-0.67,default
1722566,-0.99,-0.03,-0.15,1.59,2.87,-0.37,default
1722574,-0.99,-0.03,-0.14,1.40,2.20,-0.24,default
1722582,-0.99,-0.03,-0.15,1.04,1.46,-0.18,default
1722590,-0.99,-0.03,-0.15,0.85,1.16,-0.06,default
1722598,-0.99,-0.03,-0.15,0.79,1.28,-0.18,default
1722606,-0.99,-0.03,-0.15,1.16,1.22,-0.24,default
1722614,-0.99,-0.03,-0.14,1.59,1.40,-0.18,default
1722622,-0.99,-0.03,-0.14,1.59,1.40,-0.18,default
1722630,-0.99,-0.03,-0.15,1.59,1.40,-0.06,default
1722638,-0.99,-0.03,-0.14,1.59,1.40,-0.06,default
1722646,-0.99,-0.03,-0.15,1.53,0.79,0.18,default
1722654,-0.99,-0.03,-0.15,1.77,0.61,0.18,default
1722662,-0.99,-0.03,-0.15,1.95,0.55,0.37,default
1722670,-0.99,-0.03,-0.15,2.26,0.79,0.18,default
1722678,-0.99,-0.03,-0.15,2.01,1.53,-0.06,default
1722686,-0.99,-0.03,-0.14,1.46,1.95,-0.31,default
1722694,-0.99,-0.03,-0.14,1.65,2.01,-0.37,default
1722702,-0.99,-0.03,-0.15,1.71,1.53,-0.18,default
1722710,-0.99,-0.03,-0.15,1.71,1.53,-0.18,default
1722718,-0.99,-0.03,-0.15,1.53,1.46,-0.06,default
1722726,-0.99,-0.03,-0.15,1.53,1.46,-0.06,default
1722734,-0.99,-0.03,-0.15,1.53,1.34,-0.24,default
1722742,-0.99,-0.03,-0.15,1.59,1.59,-0.24,default
1722750,-0.99,-0.03,-0.14,1.40,1.59,-0.31,default
1722758,-0.99,-0.03,-0.15,1.59,1.28,-0.06,default
1722766,-0.99,-0.03,-0.15,1.46,1.16,-0.18,default
1722774,-0.99,-0.03,-0.15,1.40,1.04,-0.12,default
1722782,-0.99,-0.03,-0.15,1.46,1.04,-0.12,default
1722790,-0.99,-0.03,-0.15,1.46,1.04,-0.18,default
1722798,-0.99,-0.03,-0.15,1.53,0.85,-0.12,default
1722806,-0.99,-0.03,-0.15,1.53,0.79,-0.06,default
1722814,-0.99,-0.03,-0.15,1.46,0.79,-0.12,default
1722822,-0.99,-0.03,-0.15,1.46,0.79,-0.12,default
1722830,-0.99,-0.03,-0.15,1.71,1.10,-0.12,default
1722838,-0.99,-0.03,-0.15,1.59,1.04,-0.12,default
1722846,-0.99,-0.03,-0.15,1.40,0.92,-0.18,default
1722854,-0.99,-0.03,-0.15,1.16,0.79,-0.06,default
1722862,-0.99,-0.03,-0.15,0.98,0.79,-0.12,default
1722870,-0.99,-0.03,-0.15,0.92,0.67,-0.12,default
1722878,-0.99,-0.03,-0.15,1.10,0.73,-0.24,default
1722886,-0.99,-0.03,-0.15,1.16,0.92,-0.31,default
1722894,-0.99,-0.03,-0.15,1.53,1.10,-0.12,default
1722902,-0.99,-0.03,-0.15,1.59,1.16,-0.06,default
1722910,-0.99,-0.03,-0.15,1.46,1.04,0.00,default
1722918,-0.99,-0.03,-0.15,1.46,1.04,0.00,default
1722926,-0.99,-0.03,-0.15,1.22,0.92,-0.06,default
1722934,-0.99,-0.03,-0.15,1.22,0.92,-0.06,default
1722942,-0.99,-0.03,-0.15,1.22,0.73,0.00,default
1722950,-0.99,-0.03,-0.15,0.98,0.61,-0.18,default
1722958,-0.99,-0.03,-0.15,1.04,0.61,0.12,default
1722966,-0.99,-0.03,-0.15,1.04,0.43,0.06,default
1722974,-0.99,-0.03,-0.15,1.04,0.43,-0.18,default
1722982,-0.99,-0.03,-0.15,1.16,0.61,-0.12,default
1722990,-0.99,-0.03,-0.15,1.22,0.61,-0.12,default
1722998,-0.99,-0.03,-0.15,1.34,0.79,0.00,default
1723006,-0.99,-0.03,-0.15,1.34,0.79,0.00,default
1723014,-0.99,-0.03,-0.15,1.40,0.43,0.12,default
1723022,-0.99,-0.03,-0.15,1.40,0.43,0.12,default
1723030,-0.99,-0.03,-0.14,1.40,0.37,0.06,default
1723038,-0.99,-0.03,-0.15,1.53,-0.12,0.31,default
1723046,-0.99,-0.03,-0.15,1.46,-0.31,0.43,default
1723054,-0.99,-0.03,-0.15,1.46,0.12,0.18,default
1723062,-0.99,-0.03,-0.15,1.46,0.49,0.18,default
1723070,-0.99,-0.03,-0.15,1.53,0.67,0.00,default
1723078,-0.99,-0.03,-0.15,1.46,0.92,-0.06,default
1723086,-0.99,-0.03,-0.15,1.59,0.85,-0.06,default
1723094,-0.99,-0.03,-0.15,1.65,0.79,0.06,default
